Abbas_X	Abbasid_N
Christmas_A	Christmassy_A
Christmas_A	Christmastide_N
Christmas_A	Shitmas_X
Clinton_X	Clint_X
Clinton_X	Clintonian_A
Clinton_X	Clintonism_N
Cohen_X	Cohenian_A
Cohen_X	Cohenist_A
Colombian_N	Colombianism_N
Colombian_N	Colombianness_N
Colorado_X	Coloradan_N
Colorado_X	Coloradoan_X
Coolidge_X	Coolidgean_A
Coolidge_X	Coolidgian_A
Copacabana_X	Copa_X
Copenhagen_N	Copenhagener_N
Copenhagen_N	Copenhagenist_N
Copenhagen_N	Copenhagenization_X
Copenhagen_N	Copenhagenize_X
Crusoe_X	Crusoean_A
Crusoe_X	Crusoesque_A
Cupid_X	Cupidinian_A
Cupid_X	Cupidlike_A
Cupid_X	cupid_N
Cupid_X	cupidity_N
Darwin_X	Darwinian_N
Darwin_X	Darwinic_A
Darwin_X	Darwinism_N
Darwin_X	Darwinist_N
Darwin_X	Darwinistic_A
Darwin_X	Darwinization_N
Darwin_X	Darwinize_V
Darwin_X	darwin_N
Decameron_X	Decameronesque_A
Decameron_X	Decameronian_A
Decameron_X	Decameronic_A
December_X	Decemberish_A
December_X	Decemberly_A
December_X	Decembrist_N
Discman_N	discman_N
Dougal_X	MacDougall_X
Dutch_A	Dutchman_N
Dutch_A	Dutchwoman_N
Dutch_A	dutchman_N
Earth_X	Earthan_N
Earth_X	Earther_N
Earth_X	Earthian_A
Earth_X	Earthican_A
Earth_X	Earthite_N
Earth_X	Earthling_N
Earth_X	Earthman_N
Earth_X	Earthscape_N
Earth_X	Earthshine_N
Earth_X	Earthwoman_N
Earth_X	earthlight_N
Earth_X	earthling_N
Earth_X	earthrise_N
Earth_X	earthshine_N
Earth_X	earthside_A
Earth_X	transearth_A
Easter_N	Easterfest_N
Easter_N	Eastermonth_X
Easter_N	Eastertide_N
Easter_N	Eastertime_N
Eastphalia_X	Eastphalian_A
Eaton_X	Eatonia_X
Eaton_X	Eatonton_X
Eaton_X	Eatontown_X
Eaton_X	Eatonville_X
Edison_X	Edisonian_A
Edison_X	edisonade_N
Edward_X	Ed_X
Edward_X	Eddie_N
Edward_X	Eddy_X
Edward_X	Ned_X
Edward_X	Ted_N
Edward_X	Teddie_X
Edward_X	Teddy_X
Ekoi_N	Ekoid_A
Elmer_N	Elmering_N
England_X	Englander_N
English_A	Englishman_N
English_A	Englishmen_N
English_A	Englishness_N
English_A	Englishwoman_N
English_A	Englishwomen_N
Ephesian_A	Ephesians_N
Ephesus_X	Ephesian_A
Ephesus_X	Ephesians_N
Epictetus_X	Epictetan_A
Essex_X	Essexian_A
Essex_X	Essexville_X
Essex_X	essexite_N
Euboea_X	Euboean_A
Eugenie_X	Genie_X
European_A	Europeanism_N
European_A	Europeanist_N
European_A	Europeanistic_A
European_A	Europeanly_D
Euroskeptic_N	Euroskeptical_A
Euroskeptic_N	Euroskepticism_N
Everton_X	Evertonian_N
Fagin_N	Faginesque_A
Fed_X	FedACH_X
Fed_X	Fedwire_X
Fed_X	Fedzilla_N
Fleming_N	Flemingsburg_X
Fleming_N	Flemington_X
Flemish_A	Flemishness_N
Florida_X	Floribbean_A
Florida_X	Floridian_A
Florida_X	Floridization_N
Forster_X	Forsterian_A
Frankenstein_V	Frankenfish_N
Frankenstein_V	Frankensteinian_A
Frankenstein_V	Frankensteining_V
Frankenstein_V	Frankensteinish_A
Frankenstein_V	frankenfood_N
Frankenstein_V	frankenword_N
Friday_N	Fridayish_A
Friday_N	Fridayitis_X
Friday_N	Fridays_D
Fuchs_X	fuchsia_N
Fulton_X	Fultonian_X
Fulton_X	Fultonism_N
Gallic_A	gallice_X
Gallic_A	gallicism_N
Gallic_A	gallicize_V
Gallic_A	gallium_N
Galloway_N	Gallowegian_A
Galloway_N	Galwegian_A
Galois_X	cogalois_A
Galois_X	galoisian_A
Galway_X	Galwayman_N
Galway_X	Galwaywoman_N
Galway_X	Galwegian_A
Gamergate_X	Gamergater_N
Garrisonian_A	Garrisonianism_N
Gaullism_N	Gaullist_N
George_N	Georgeson_X
George_N	Georgia_X
George_N	Georgian_N
George_N	Georgiana_X
George_N	Georgie_X
George_N	Georgina_X
Gerstmann_X	Gerstmanngate_X
Gerstmann_X	gerstmannite_N
Graham_X	Grahamesque_A
Graham_X	Grahamism_N
Graham_X	Grahamite_N
Graham_X	grahamite_N
Greenland_X	Greenlander_N
Greenland_X	Greenlandic_A
Greenland_X	Greenlandish_A
Greenland_X	Greenlandite_X
Greenland_X	Greenlandman_X
Hamiltonian_A	Hamiltonianness_N
Hamiltonian_A	hypohamiltonian_A
Hamiltonian_A	pseudohamiltonian_N
Hampton_X	Northampton_X
Hampton_X	Southampton_X
Hampton_X	Wolverhampton_X
Hanse_N	Hansard_N
Haugean_A	Haugeanism_N
Hawaii_X	Hawaiian_A
Hawaii_X	hawaiite_N
Healy_X	Healyite_N
Hellene_N	Hellen_X
Hellene_N	Hellenic_A
Hellene_N	Hellenisation_N
Hellene_N	Hellenise_V
Hellene_N	Helleniser_N
Hellene_N	Hellenism_N
Hellene_N	Hellenist_N
Hellene_N	Hellenistic_A
Hellene_N	Hellenistical_A
Hellene_N	Hellenization_N
Hellene_N	Hellenize_V
Hellene_N	Hellenizer_N
Hellenic_A	Hellenisation_N
Hellenic_A	Hellenise_V
Hellenic_A	Helleniser_N
Hellenic_A	Hellenism_N
Hellenic_A	Hellenist_N
Hellenic_A	Hellenistic_A
Hellenic_A	Hellenistical_A
Hellenic_A	Hellenization_N
Hellenic_A	Hellenize_V
Hellenic_A	Hellenizer_N
Helston_X	Helstonian_N
Hephaestus_X	Hephaestian_X
Hephaestus_X	Hephaestic_X
Hephaestus_X	hephaestin_N
Heraclitus_X	Heraclitean_A
Hick_X	hick_N
Hilbert_X	Hilbertian_A
Homeric_A	Homerically_X
Homeric_A	Homericalqualifier_X
Homeric_A	Homericanqualifier_X
Homeric_A	obsolete_A
Homeric_A	rare_A
Hoxton_X	Hoxtonite_N
Hubbard_X	Hubbardian_A
Humboldt_X	Humboldtian_A
Idaho_N	Idahoan_A
Indian_A	Amerindian_N
Indian_A	Hindian_N
Indian_A	Indianness_N
Ithaca_X	Ithacan_A
Izmir_X	Izmirian_A
Jackson_N	Jacksonesque_A
Jackson_N	Jacksonian_N
Jackson_N	Jacksonite_N
Jackson_N	Jacksonville_X
Jaguar_N	Jag_N
Japan_X	Japanese_A
Japan_X	Japanize_V
Japan_X	Japanology_N
Japan_X	Japanophile_N
Japan_X	Japanophilia_N
Japan_X	Japqualifier_X
Japan_X	derogatory_A
Japan_X	japan_N
Japan_X	japanware_N
Jefferson_N	Jeffersonian_A
Jefferson_N	Jeffersontown_X
Jefferson_N	Jeffersonville_X
Jefferson_N	jeffersonite_N
Jersey_N	Jerseyan_X
Jersey_N	Jerseyite_X
Jersey_N	Jerseyman_N
Jersey_N	Jerseyville_X
Jewish_A	Jewishish_A
Jewish_A	Jewishly_D
Jewish_A	Jewishness_N
Jewish_A	Jewishy_A
John_N	en_N
Johnson_N	Johnsonian_A
Johnson_N	Johnsonism_N
Johnson_N	Johnsonville_X
Jungian_A	Jungianism_N
Karkin_X	Carquinez_X
Katz_X	Katzian_A
Kipling_X	Kiplingese_N
Kipling_X	Kiplingesque_A
Kipling_X	Kiplingian_A
Kipling_X	Kiplingism_N
Kore_X	Corina_X
Kore_X	Corinna_X
Kore_X	Corinne_X
Kore_X	Corrinne_X
Kosovo_X	Kosovan_A
Kosovo_X	Kosovar_A
Kosovo_X	kosovar_X
Kyiv_X	Kyivan_A
Lacerta_X	Lacertae_X
Lamborghini_N	Lambo_N
Laramie_X	Laramide_A
Lazica_X	Lazican_X
Legionnaire_N	legionella_N
Lenin_X	Leningrad_X
Lenin_X	Leninian_A
Lenin_X	Leninism_N
Lenin_X	Leninite_N
Lewis_X	Lewisian_A
Lewis_X	Lewiston_X
Lewis_X	Lewistown_X
Lewis_X	Lewisville_X
Lincoln_N	Lincolnesque_A
Lincoln_N	Lincolnian_A
Lincoln_N	Lincolnshire_X
Lincoln_N	Lincolnton_X
Linus_X	Linian_X
Linux_X	Linuxer_N
London_X	Londoner_N
London_X	Londonese_X
London_X	Londongrad_X
London_X	Londonish_A
London_X	Londonism_N
London_X	Londonistan_X
London_X	Londonize_V
London_X	Londonphile_N
London_X	Londonshire_X
London_X	Londonward_D
Lydian_N	Hypomixolydian_X
Lydian_N	Mixolydian_A
Magellan_X	Magellanic_A
Mailer_X	Maileresque_A
Mailer_X	Mailerian_A
Mao_X	Maoism_N
Mao_X	Maoist_A
Marshall_X	Marshallian_A
Mary_X	Marian_A
Maximus_X	Max_X
May_X	Mayey_X
May_X	Mayfair_X
May_X	Mayie_X
May_X	Maying_X
May_X	Maytime_N
May_X	mayapple_N
May_X	maybird_N
May_X	mayduke_X
May_X	mayfish_N
May_X	mayflower_N
May_X	mayfly_N
May_X	mayhaw_N
May_X	maying_N
May_X	maypole_N
May_X	maytag_X
May_X	pl=s_X
Medea_X	Medean_A
Mediterranean_A	Mediterraneanise_V
Mediterranean_A	Mediterraneanize_V
Mediterranean_A	Protomediterranean_X
Mediterranean_A	medicane_N
Mediterranean_A	submediterranean_A
Mennonite_N	Mennonitic_X
Mennonite_N	Mennonitish_X
Mennonite_N	Mennonitism_N
Mercedes_N	Merc_N
Microsoft_N	Mickeysoft_X
Microsoft_N	Micro$oft_X
Microsoft_N	Microsofter_N
Microsoft_N	Microsoftian_A
Microsoft_N	Microsoftie_N
Microsoft_N	Microsoftify_V
Miller_X	Millerchip_X
Miller_X	Millerian_A
Miller_X	Millerite_N
Miller_X	Millersburg_X
Miller_X	millerite_N
Minecraft_X	Minecrafter_N
Minecraft_X	Minecrafty_A
Minneola_X	minneola_N
Mississauga_N	Mississaugan_N
Mole_X	Molesey_X
Monday_N	Mondayise_X
Monday_N	Mondayish_D
Monday_N	Mondayitis_N
Monday_N	Mondayize_V
Monday_N	Mondayman_X
Monday_N	Mondays_D
Monroe_X	Monroeism_N
Monroe_X	Monroeist_N
Monroe_X	Monroeville_X
Moog_N	Moogless_A
Moore_X	Moorean_A
Moore_X	Moorefield_X
Morris_X	Morrisite_N
Morris_X	Morrison_X
Morton_X	Mortonian_A
Mosley_X	Mosleyan_A
Mosley_X	Mosleyite_N
Munich_X	Munichism_X
Munich_X	Munichite_X
Munro_N	Munroist_N
Murji'ah_X	Murji'ite_N
Nanjing_X	Nanjinger_N
Nanjing_X	Nanjingese_N
Napier_X	Napierville_X
Napoleon_N	Napoleonesque_A
Napoleon_N	Napoleonian_A
Napoleon_N	Napoleonic_A
Napoleon_N	Napoleonism_N
Napoleon_N	Napoleonist_N
Napoleon_N	Napoleonville_X
Naruto_X	Narutard_N
Nazca_X	Nazcan_A
Nefertiti_X	Nefertitian_A
Negros_X	Negrense_N
Nelson_X	Nelsonesque_A
Nelson_X	Nelsonian_A
Nelson_X	nelson_N
Nelson_X	nelsonite_N
Nevada_X	Nevadan_N
Newton_X	Newtonian_A
Newton_X	newton_N
Numidia_X	Numidian_A
Obama_A	ObamaCare_X
Obama_A	Obamabot_N
Obama_A	Obamageddon_N
Obama_A	Obamamania_N
Obama_A	Obamanation_N
Obama_A	Obamanomics_N
Obama_A	Obamaton_N
Obama_A	Obamunism_X
Obama_A	Obomber_X
Olympiad_N	Paralympiad_N
Oregon_X	Oregonian_N
Oriental_A	Orientalism_X
Oriental_A	Orientalist_X
Oriental_A	Orientalize/Orientalise_X
Oriental_A	orientalism_N
Oriental_A	orientalist_N
Oriental_A	orientality_N
Oriental_A	orientalize/orientalise_X
Orwell_X	Orwellian_A
Osler_X	Oslerian_A
Osler_X	Oslerization_N
Osler_X	Oslerize_V
Oval_X	Ovalgate_X
Oviedo_X	Oviedan_A
Oxford_N	Oxbridge_X
Oxford_N	Oxfordshire_X
Palmach_X	Palmachnik_N
Panama_N	Panamanian_N
Papua_X	Papuan_A
Paralympics_X	Paralympian_N
Paralympics_X	Paralympic_A
Patagonia_X	Patagonian_A
Pearson_X	Pearsonian_A
Penrose_X	Penrosian_A
Pentecost_X	Pentecostal_A
Pentecost_X	Pentecostalism_N
Pentecost_X	Pentecostalist_A
Persepolis_X	Persepolitan_A
Peter_X	Petersburg_X
Pikermi_X	Pikermian_A
Pilsen_X	pilsener_N
Pilsen_X	pilsner_N
Pisces_N	Piscean_A
Pisces_N	Piscium_X
Platonic_A	Neoplatonic_A
Platonic_A	Platonical_A
Platonic_A	Platonically_X
Pratt_X	Prattville_X
Purgatory_X	purgatorial_A
Python_N	CPython_X
Python_N	PyCon_X
Python_N	PyGTK_X
Python_N	PyPI_X
Python_N	PyPy_X
Python_N	PyQt_X
Python_N	Pygame_X
Python_N	Pythoneer_X
Python_N	Pythonesque_A
Python_N	Pythoness_N
Python_N	Pythonist_N
Python_N	Pythonista_N
Python_N	pythonic_A
Python_N	unpythonic_A
Quaker_N	Quakerism_N
Quaker_N	Quakerly_A
Rapunzel_X	Rapunzelian_A
Rastafarian_N	Pastafarian_N
Rastafarian_N	RESTafarian_N
Rastafarian_N	Rastafarianism_X
Rastafarian_N	trustafarian_N
Reader_N	Readership_N
Reagan_X	Reaganesque_A
Reagan_X	Reaganism_N
Reagan_X	Reaganite_N
Reagan_X	Reaganomics_X
Redding_X	reddingite_N
Reuters_X	Reutersgate_X
Rhineland_X	Rhinelander_N
Rhineland_X	Rhinelandic_A
Rhodesia_X	Rhodesian_A
Riemann_A	Riemannian_A
Roman_A	Romanesque_A
Roman_A	Romanism_N
Roman_A	Romanist_N
Roman_A	Romish_A
Roman_A	rom_X
Rotuma_X	Rotuman_N
Russian_N	Russianization_N
Ryle_X	Rylean_A
Saba_X	Sabean_A
Sacks_X	Sacksian_A
Samoa_X	Samoan_N
Sandusky_X	Sanduskian_N
Saskatoon_X	Saskatonian_N
Saskatoon_X	Saskatooner_X
Saskatoon_X	Saskatoonian_X
Saturday_N	Saturdaying_N
Saturday_N	Saturdayite_X
Saturday_N	Saturdays_D
Schiller_X	Schillerian_A
Scot_N	Scotch_N
Scot_N	Scotizing_X
Scot_N	Scottish_A
Scott_N	Scottsburg_X
Self_X	Selfian_A
September_X	Septembered_X
September_X	Septemberer_N
September_X	Septemberish_A
September_X	Septemberism_X
September_X	Septembrian_X
September_X	Septembrish_X
September_X	Septembrist_N
Serendip_X	serendipity_N
Shasta_N	Shastan_X
Sherlock_V	Sherlocked_A
Sherlock_V	Sherlockian_A
Sherlock_V	Sherlockish_A
Sherlock_V	Sherlocky_A
Sherlock_V	Sherly_X
Silesia_X	Silesian_A
Silesia_X	sleaze_N
Silesia_X	sleazy_A
Sitwell_X	Sitwellian_A
Sitwell_X	Sitwellism_X
Sorelian_A	Sorelianism_N
Spielberg_X	Spielbergian_A
Sudan_X	Sudaneseq_X
Sudan_X	Sudanianq_X
Sunday_N	Sundayed_V
Sunday_N	Sundayfied_X
Sunday_N	Wentsunday_X
Sunday_N	Whitsunday_N
Sunday_N	sundae_N
Swale_X	Swaledale_X
Swedish_N	Swedishly_D
Swedish_N	Swedishness_N
Swift_X	Swiftian_A
Swift_X	Swiftie_N
Taliban_N	Tealiban_X
Tengrian_A	Tengrianism_N
Teutonic_A	Teutonicism_N
Teutonic_A	Teutonicize_V
Thatcher_X	Thatcheresque_A
Thatcher_X	Thatcherian_A
Thatcher_X	Thatcherism_X
Thatcher_X	Thatcherist_N
Thatcher_X	Thatcherite_A
Thatcher_X	Thatcherization_N
Thatcher_X	Thatcherize_V
Thatcher_X	Thatchernomics_N
Tibet_X	Tibetan_A
Tijuana_X	Tijuanan_A
Tito_X	Titograd_X
Transnistria_X	Transnistrian_A
Trump_X	TrumpCare_X
Trump_X	Trumpean_A
Trump_X	Trumper_N
Trump_X	Trumpesque_A
Trump_X	Trumpette_N
Trump_X	Trumpian_A
Trump_X	Trumpiness_N
Trump_X	Trumpish_A
Trump_X	Trumpishness_N
Trump_X	Trumpism_N
Trump_X	Trumpist_A
Trump_X	Trumpistan_X
Trump_X	Trumpite_A
Trump_X	Trumpland_X
Trump_X	Trumponomics_N
Trump_X	Trumptard_N
Trump_X	Trumpworld_X
Trump_X	Trumpy_A
Tuesday_N	Tuesdays_D
TypeScript_X	TypeScripted_X
TypeScript_X	TypeScripting_X
Ullmann_X	ullmannite_N
Usona_X	Usonan_N
Usona_X	Usonia_X
Usona_X	Usonian_A
Usona_X	Usono_X
Usonia_X	Usonian_A
Usonia_X	Usono_X
Usonian_A	Usonianism_N
Utah_X	Utahan_N
Utah_X	Utahn_N
Utah_X	Utahraptor_X
Utah_X	utahite_N
Vandal_N	vandal_N
Vandal_N	vandalism_N
Vanuatu_X	Vanuatuan_N
Vatican_A	Vaticanian_N
Vatican_A	Vaticanism_N
Vatican_A	Vaticanist_N
Vatican_A	Vaticanologist_N
Vatican_A	Vaticanology_N
Venizelos_X	Venizelism_N
Venizelos_X	Venizelist_A
Venus_X	Venerial_X
Venus_X	Venerian_A
Venus_X	Venusian_N
Venus_X	Venuslike_A
Venus_X	protoVenus_X
Venus_X	venereal_A
Venus_X	venusquake_N
Viking_N	Vikingism_N
Viking_N	Vikingship_X
Viking_N	vike_N
Voltaire_X	Voltairean_A
Voltaire_X	Voltaireanism_N
Voltaire_X	Voltairian_A
Voltaire_X	Voltairianism_N
Voltaire_X	Voltairism_N
Vulcan_N	Vulcanalia_X
Vulcan_N	vulcanicity_N
Vulcan_N	vulcanism_N
Vulcan_N	vulcanist_N
Vulcan_N	vulcanite_N
Vulcan_N	vulcanization_N
Vulcan_N	vulcanize_V
Vulcan_N	vulcanological_A
Vulcan_N	vulcanologist_N
Vulcan_N	vulcanology_N
Walden_X	Waldenite_X
Walkman_N	Discman_N
Walkman_N	walkman_N
Walton_X	Waltonian_A
Warwick_X	Warwickian_X
Warwick_X	Warwickshire_X
Warwick_X	warwickite_N
Weber_X	Weberian_A
Weber_X	weberite_N
Wells_X	Wellsburg_X
Wells_X	Wellsean_A
Wells_X	Wellsian_A
Wharton_X	Whartonesque_X
Wharton_X	Whartonian_A
Wheeler_X	Wheelerwood_X
Wii_N	Wiimote_N
Windsor_X	Windsorian_X
Wisconsin_X	Wisconsinian_X
Wright_X	Wrightian_A
York_X	Yorkie_N
York_X	Yorkist_N
York_X	Yorks_X
York_X	Yorkshire_N
York_X	Yorkville_X
York_X	yorker_N
Young_X	Youngian_A
Young_X	Youngstown_X
Yunnan_X	yunnanensis_X
Yunnan_X	yunnanozoan_N
Zahlé_X	Zahliot_N
Zambezi_X	Zambezian_A
Zealand_X	Zealander_N
Zion_X	Zionism_N
Zion_X	Zionist_N
Zion_X	Zionistic_A
Zion_X	Zionization_N
Zion_X	Zionize_V
Zionism_N	Ziochristian_N
Zionism_N	Zionazi_N
Zionism_N	Zionazism_N
Zionism_N	Zionification_N
Zionism_N	Zionise_V
Zionism_N	Zionistan_X
Zionism_N	Zionistically_D
Zionism_N	Zionization_N
Zionism_N	Zionize_V
Zionism_N	prozionist_N
Zionism_N	ziofascism_N
Zionism_N	ziofascist_N
Zionism_N	zionify_V
abacteremic_A	abacteremically_X
abate_V	abatable_A
abate_V	abatement_N
abate_V	abater_N
abate_V	unabated_A
aberration_N	aberrational_A
aberration_N	aberrationless_A
abnormal_A	abnormalcy_N
abnormal_A	abnormalism_N
abnormal_A	abnormality_N
abnormal_A	abnormalize_V
abnormal_A	abnormally_D
abnormal_A	abnormalness_N
abnormal_A	nonabnormal_A
abortal_A	postabortal_A
abrachiocephalia_N	abrachiocephalous_A
absinthe_N	absinthate_N
absinthe_N	absinthean_A
absinthe_N	absinthial_A
absinthe_N	absinthian_A
absinthe_N	absinthiana_N
absinthe_N	absinthiate_V
absinthe_N	absinthiated_V
absinthe_N	absinthic_A
absinthe_N	absinthiin_N
absinthe_N	absinthin_N
absinthe_N	absinthine_A
absinthe_N	absinthism_N
absinthe_N	absinthismic_A
absinthe_N	absinthites_N
absinthe_N	absinthium_N
absinthe_N	absinthol_N
abyss_N	abysmic_A
abyss_N	abyssal_A
abyss_N	abysslike_A
abyss_N	abyssobenthic_A
abyss_N	abyssolith_N
abyss_N	abyssolithic_A
abyss_N	abyssopelagic_A
abyssal_A	abyssalbenthic_A
abyssal_A	abyssally_D
abyssal_A	abyssalpelagic_A
abyssal_A	hypabyssal_A
abyssal_A	hyperabyssal_X
abyssal_A	hypoabyssal_X
academy_N	academic_A
academy_N	academical_A
accelerate_V	accelerative_A
accelerate_V	accelerator_N
accept_V	accepted_V
accept_V	acceptedly_D
accept_V	accepter_N
accept_V	acceptive_A
accidental_A	accidentally_D
accidental_A	accidentalness_N
accordion_N	accordionist_N
acculturation_N	acculturate_V
acetamide_N	acetamidase_N
acetamide_N	arylacetamide_N
acetamide_N	bromoacetamide_N
acetamide_N	dichloroacetamide_N
acetamide_N	fluoroacetamide_N
acetamide_N	hydroxyacetamide_N
acetamide_N	iodoacetamide_N
acetamide_N	ketoacetamide_N
acetamide_N	thioacetamide_N
acetogenesis_N	homoacetogenesis_N
acetone_N	acetonaemia_N
acetone_N	acetonemia_N
acetone_N	acetonic_A
acetone_N	aminoacetone_N
acetone_N	benzylideneacetone_N
acetone_N	bromoacetone_N
acetone_N	chloroacetone_N
acetone_N	diacetone_N
acetone_N	hexabromoacetone_N
acetone_N	hexachloroacetone_N
acetone_N	hexafluoroacetone_N
acetone_N	isopropylacetone_N
acetone_N	metacetone_N
acetone_N	monoacetone_N
acetone_N	phenylacetone_N
acetone_N	succinylacetone_N
acetone_N	thioacetone_N
acetone_N	triacetone_N
acetone_N	vanillylacetone_N
acetophenone_N	aminoacetophenone_N
acetophenone_N	chloroacetophenone_N
acetophenone_N	chlorofluoroacetophenone_X
acetyl_N	acetylase_N
acetyl_N	acetylate_V
acetyl_N	acetylcholine_N
acetyl_N	acetylcholinesterase_N
acetyl_N	acetylene_N
acetyl_N	acetylic_A
acetyl_N	acetylide_N
acetyl_N	acetylsalicylate_N
acinar_A	centriacinar_A
acinar_A	interacinar_A
acinar_A	multiacinar_A
acinar_A	panacinar_A
acinar_A	periacinar_A
acinar_A	pseudoacinar_A
acosmism_N	acosmic_A
acosmism_N	acosmist_N
acquit_V	acquitalqualifier_X
acquit_V	acquitment_N
acquit_V	acquittal_N
acquit_V	acquittance_N
acquit_V	acquitter_N
acquit_V	obsolete_A
acquit_V	unacquittable_A
acquit_V	unacquitted_A
acquit_V	unaquit_A
acre_N	acreage_N
acre_N	acred_A
acre_N	acreless_A
acre_N	acreman_N
acre_N	acreme_X
acridian_N	antiacridian_A
acromial_A	coracoacromial_A
acromial_A	interacromial_A
acromial_A	subacromial_A
acromial_A	supraacromial_A
acromial_A	thoracoacromial_A
actant_N	actantial_X
action_N	actioner_N
activation_N	activational_A
activation_N	activationless_A
activation_N	bioactivation_N
activation_N	coactivation_N
activation_N	cryoactivation_N
activation_N	hyperactivation_N
activation_N	hypoactivation_N
activation_N	metalloactivation_N
activation_N	misactivation_N
activation_N	neuroactivation_N
activation_N	nonactivation_N
activation_N	overactivation_N
activation_N	photoactivation_N
activation_N	postactivation_A
activation_N	preactivation_N
activation_N	radioactivation_N
activation_N	reactivation_N
activation_N	superactivation_N
activation_N	transactivation_N
activation_N	underactivation_N
active_A	retroactive_A
acute_A	acuity_N
acute_A	acutance_N
acute_A	acutely_D
acute_A	acuteness_N
acyl_N	acylation_N
acyl_N	acyloxy_N
acyl_N	hydroxyacyl_N
acyl_N	thioacyl_N
acylation_N	aminoacylation_N
acylation_N	deacylation_N
acylation_N	hydroacylation_N
acylation_N	monoacylation_N
acylation_N	reacylation_N
acylation_N	transacylation_N
adaptation_N	adaptational_A
adaptation_N	adaptationism_N
adaptation_N	adaptationist_N
adapter_N	adapt_V
adapter_N	adaptability_N
adapter_N	adaptable_A
adapter_N	adaptableness_N
adapter_N	adaptably_D
adapter_N	adaptation_N
adapter_N	adaptational_A
